step,node
1193,3
1194,30
1195,12
1196,26
1197,12
1198,17
1199,12
1200,29
1201,18
1202,29
1203,12
1204,13
1205,3
1206,13
1207,12
1208,3
1209,13
1210,14
1211,13
1212,12
1213,13
1214,14
1215,13
1216,14
1217,13
1218,4
1219,13
1220,3
1221,12
1222,30
1223,3
1224,16
1225,28
1226,14
1227,13
1228,3
1229,12
1230,17
1231,14
1232,28
1233,14
1234,13
1235,16
1236,4
1237,13
1238,12
1239,13
1240,4
1241,16
1242,10
1243,24
1244,1
1245,17
1246,28
1247,4
1248,28
1249,4
1250,18
1251,17
1252,14
1253,13
1254,16
1255,10
1256,4
1257,17
1258,12
1259,30
1260,3
1261,16
1262,12
1263,3
1264,26
1265,12
1266,30
1267,3
1268,30
1269,12
1270,16
1271,10
1272,1
1273,24
1274,26
1275,3
1276,26
1277,12
1278,26
1279,24
1280,26
1281,12
1282,29
1283,12
1284,17
1285,28
1286,17
1287,12
1288,16
1289,28
1290,14
1291,28
1292,4
1293,13
1294,16
1295,22
1296,16
1297,13
1298,16
1299,13
1300,14
1301,28
1302,16
1303,10
1304,1
1305,10
1306,16
1307,22
1308,16
1309,22
1310,16
1311,13
1312,14
1313,13
1314,16
1315,22
1316,16
1317,3
1318,12
1319,4
1320,24
1321,10
1322,1
1323,10
1324,4
1325,24
1326,1
1327,17
1328,14
1329,28
1330,4
1331,24
1332,1
1333,17
1334,12
1335,3
1336,26
1337,24
1338,1
1339,17
1340,28
1341,14
1342,28
1343,4
1344,10
1345,1
1346,10
1347,4
1348,13
1349,12
1350,26
1351,12
1352,3
1353,12
1354,16
1355,3
1356,13
1357,4
1358,24
1359,4
1360,28
1361,17
1362,18
1363,17
1364,14
1365,8
1366,5
1367,27
1368,5
1369,8
1370,19
1371,27
1372,5
1373,23
1374,5
1375,8
1376,11
1377,8
1378,23
1379,2
1380,25
1381,9
1382,15
1383,25
1384,15
1385,25
1386,7
1387,19
1388,27
1389,19
1390,27
1391,19
1392,7
1393,25
1394,21
1395,15
1396,5
1397,15
1398,9
1399,23
1400,2
1401,20
1402,2
1403,25
1404,7
1405,6
1406,11
1407,8
1408,6
1409,7
1410,25
1411,15
1412,9
1413,25
1414,15
1415,5
1416,6
1417,5
1418,27
1419,6
1420,11
1421,15
1422,5
1423,23
1424,8
1425,19
1426,8
1427,19
1428,8
1429,5
1430,6
1431,11
1432,6
1433,23
1434,9
1435,25
1436,7
1437,6
1438,2
1439,9
1440,25
1441,15
1442,11
1443,6
1444,8
1445,5
1446,15
1447,5
1448,8
1449,19
1450,7
1451,6
1452,8
1453,5
1454,8
1455,6
1456,7
1457,25
1458,7
1459,19
1460,7
1461,15
1462,21
1463,25
1464,21
1465,25
1466,21
1467,15
1468,21
1469,23
1470,5
1471,27
1472,5
1473,23
1474,9
1475,25
1476,9
1477,15
1478,7
1479,15
1480,7
1481,19
1482,8
1483,14
1484,13
1485,3
1486,13
1487,12
1488,30
1489,12
1490,4
1491,28
1492,16
1493,1
1494,24
1495,26
1496,3
1497,16
1498,10
1499,16
1500,28
1501,16
1502,12
1503,29
1504,12
1505,30
1506,12
1507,30
1508,3
1509,30
1510,3
1511,26
1512,12
1513,17
1514,14
1515,13
1516,16
1517,3
1518,12
1519,16
1520,12
1521,26
1522,12
1523,16
1524,1
1525,16
1526,3
1527,16
1528,1
1529,16
1530,4
1531,1
1532,17
1533,18
1534,4
1535,16
1536,13
1537,14
1538,17
1539,1
1540,16
1541,3
1542,26
1543,24
1544,10
1545,16
1546,28
1547,4
1548,28
1549,4
1550,17
1551,14
1552,17
1553,1
1554,16
1555,12
1556,13
1557,14
1558,8
1559,5
1560,6
1561,7
1562,15
1563,9
1564,15
1565,9
1566,15
1567,5
1568,8
1569,6
1570,27
1571,5
1572,6
1573,20
1574,6
1575,23
1576,21
1577,25
1578,21
1579,15
1580,23
1581,9
1582,23
1583,2
1584,9
1585,23
1586,2
1587,23
1588,5
1589,27
1590,6
1591,11
1592,15
1593,9
1594,23
1595,2
1596,25
1597,15
1598,9
1599,15
1600,23
1601,6
1602,11
1603,8
1604,6
1605,8
1606,23
1607,15
1608,11
1609,6
1610,8
1611,14
1612,28
1613,17
1614,4
1615,16
1616,13
1617,4
1618,17
1619,28
1620,4
1621,18
1622,17
1623,4
1624,17
1625,14
1626,17
1627,28
1628,17
1629,14
1630,13
1631,3
1632,26
1633,12
1634,26
1635,12
1636,30
1637,3
1638,13
1639,4
1640,28
1641,4
1642,16
1643,13
1644,3
1645,12
1646,16
1647,1
1648,24
1649,1
1650,16
1651,22
1652,16
1653,10
1654,1
1655,4
1656,17
1657,18
1658,4
1659,10
1660,1
1661,24
1662,4
1663,17
1664,12
1665,13
1666,14
1667,28
1668,14
1669,8
1670,5
1671,27
1672,6
1673,7
1674,19
1675,7
1676,15
1677,25
1678,15
1679,7
1680,25
1681,7
1682,6
1683,2
1684,9
1685,15
1686,7
1687,6
1688,20
1689,2
1690,6
1691,8
1692,14
1693,17
1694,14
1695,13
1696,16
1697,12
1698,17
1699,12
1700,17
1701,4
1702,17
1703,14
1704,13
1705,14
1706,28
1707,4
1708,12
1709,17
1710,4
1711,18
1712,4
1713,10
1714,4
1715,28
1716,14
1717,8
1718,6
1719,23
1720,15
1721,7
1722,25
1723,21
1724,15
1725,5
1726,23
1727,9
1728,2
1729,25
1730,2
1731,9
1732,15
1733,5
1734,6
1735,11
1736,15
1737,9
1738,25
1739,9
1740,25
1741,7
1742,15
1743,21
1744,25
1745,21
1746,23
1747,15
1748,7
1749,25
1750,7
1751,6
1752,7
1753,6
1754,27
1755,5
1756,23
1757,15
1758,7
1759,19
1760,2
1761,19
1762,7
1763,15
1764,9
1765,15
1766,25
1767,7
1768,19
1769,8
1770,14
1771,13
1772,12
1773,17
1774,4
1775,24
1776,26
1777,3
1778,13
1779,4
1780,1
1781,10
1782,4
1783,28
1784,4
1785,1
1786,24
1787,26
1788,3
1789,13
1790,3
1791,13
1792,4
1793,18
1794,4
1795,13
1796,4
1797,13
1798,12
1799,29
1800,18
1801,17
1802,12
1803,30
1804,3
1805,30
1806,12
1807,30
1808,3
1809,26
1810,24
1811,10
1812,4
1813,12
1814,29
1815,12
1816,17
1817,1
1818,16
1819,4
1820,12
1821,17
1822,28
1823,14
1824,28
1825,16
1826,28
1827,4
1828,18
1829,29
1830,12
1831,16
1832,3
1833,26
1834,24
1835,10
1836,16
1837,22
1838,16
1839,12
1840,3
1841,16
1842,12
1843,16
1844,22
1845,16
1846,13
1847,12
1848,26
1849,12
1850,29
1851,18
1852,17
1853,28
1854,16
1855,3
1856,30
1857,3
1858,26
1859,3
1860,30
1861,12
1862,16
1863,13
1864,14
1865,17
1866,18
1867,4
1868,24
1869,1
1870,4
1871,28
1872,17
1873,14
1874,13
1875,12
1876,29
1877,18
1878,4
1879,24
1880,4
1881,17
1882,28
1883,16
1884,22
1885,16
1886,12
1887,16
1888,1
1889,16
1890,22
1891,16
1892,22
1893,16
1894,12
1895,4
1896,28
1897,14
1898,13
1899,3
1900,16
1901,22
1902,16
1903,10
1904,1
1905,10
1906,1
1907,16
1908,10
1909,24
1910,10
1911,1
1912,16
1913,1
1914,24
1915,4
1916,1
1917,16
1918,1
1919,24
1920,4
1921,17
1922,12
1923,16
1924,13
1925,12
1926,16
1927,12
1928,3
1929,30
1930,12
1931,16
1932,3
1933,13
1934,12
1935,13
1936,3
1937,13
1938,16
1939,3
1940,12
1941,4
1942,12
1943,16
1944,10
1945,24
1946,4
1947,13
1948,16
1949,10
1950,16
1951,13
1952,12
1953,16
1954,1
1955,17
1956,12
1957,3
1958,16
1959,3
1960,26
1961,24
1962,1
1963,16
1964,12
1965,29
1966,18
1967,29
1968,18
1969,4
1970,12
1971,4
1972,12
1973,13
1974,3
1975,30
1976,12
1977,4
1978,12
1979,17
1980,28
1981,4
1982,13
1983,16
1984,4
1985,18
1986,29
1987,18
1988,29
1989,12
1990,4
1991,18
1992,17
1993,14
1994,8
1995,14
1996,28
1997,17
1998,12
1999,30
2000,12
2001,29
2002,18
2003,4
2004,18
2005,29
2006,18
2007,4
2008,13
2009,3
2010,26
2011,3
2012,26
2013,12
2014,16
2015,12
2016,16
2017,13
2018,14
2019,13
2020,16
2021,12
2022,26
2023,3
2024,12
2025,13
2026,16
2027,12
2028,26
2029,24
2030,26
2031,24
2032,1
2033,4
2034,17
2035,18
2036,29
2037,18
2038,4
2039,18
2040,17
2041,18
2042,4
2043,17
2044,12
2045,3
2046,13
2047,3
2048,13
2049,3
2050,30
2051,12
2052,29
2053,12
2054,16
2055,12
2056,16
2057,1
2058,24
2059,1
2060,17
2061,1
2062,24
2063,1
2064,10
2065,4
2066,13
2067,4
2068,28
2069,17
2070,18
2071,17
2072,1
2073,4
2074,13
2075,16
2076,4
2077,10
2078,1
2079,10
2080,4
2081,10
2082,16
2083,22
2084,16
2085,4
2086,18
2087,17
2088,28
2089,4
2090,13
2091,3
2092,26
2093,12
2094,3
2095,26
2096,3
2097,13
2098,16
2099,28
2100,14
2101,13
2102,12
2103,13
2104,14
2105,28
2106,4
2107,13
2108,16
2109,12
2110,4
2111,18
2112,17
2113,28
2114,14
2115,28
2116,4
2117,17
2118,12
2119,17
2120,1
2121,17
2122,28
2123,16
2124,28
2125,4
2126,24
2127,4
2128,13
2129,4
2130,17
2131,14
2132,8
2133,19
2134,7
2135,6
2136,8
2137,11
2138,15
2139,5
2140,27
2141,19
2142,7
2143,19
2144,27
2145,5
2146,23
2147,9
2148,15
2149,21
2150,23
2151,9
2152,23
2153,9
2154,15
2155,25
2156,2
2157,23
2158,6
2159,8
2160,11
2161,8
2162,5
2163,15
2164,21
2165,25
2166,7
2167,19
2168,2
2169,20
2170,6
2171,7
2172,19
2173,7
2174,19
2175,7
2176,25
2177,15
2178,5
2179,6
2180,20
2181,2
2182,19
2183,2
2184,9
2185,2
2186,20
2187,6
2188,27
2189,6
2190,20
2191,6
2192,7
2193,15
2194,21
2195,25
2196,2
2197,25
2198,7
2199,6
2200,5
2201,6
2202,23
2203,2
2204,25
2205,15
2206,11
2207,8
2208,14
2209,13
2210,12
2211,16
2212,22
2213,16
2214,28
2215,4
2216,18
2217,29
2218,12
2219,13
2220,14
2221,13
2222,14
2223,28
2224,17
2225,18
2226,29
2227,18
2228,17
2229,12
2230,3
2231,16
2232,22
2233,16
2234,28
2235,4
2236,10
2237,16
2238,13
2239,14
2240,8
2241,11
2242,15
2243,9
2244,25
2245,21
2246,15
2247,25
2248,2
2249,19
2250,2
2251,9
2252,23
2253,5
2254,8
2255,11
2256,6
2257,27
2258,6
2259,20
2260,6
2261,5
2262,27
2263,6
2264,20
2265,6
2266,20
2267,2
2268,20
2269,6
2270,27
2271,5
2272,27
2273,19
2274,7
2275,15
2276,23
2277,9
2278,15
2279,25
2280,15
2281,21
2282,23
2283,5
2284,15
2285,5
2286,6
2287,27
2288,5
2289,15
2290,11
2291,6
2292,7
2293,6
2294,8
2295,14
2296,28
2297,4
2298,1
2299,4
2300,12
2301,17
2302,14
2303,8
2304,19
2305,2
2306,25
2307,21
2308,23
2309,5
2310,27
2311,19
2312,2
2313,6
2314,11
2315,8
2316,5
2317,27
2318,5
2319,23
2320,15
2321,5
2322,15
2323,11
2324,6
2325,11
2326,8
2327,5
2328,8
2329,19
2330,27
2331,5
2332,15
2333,7
2334,19
2335,2
2336,25
2337,2
2338,20
2339,6
2340,27
2341,19
2342,2
2343,25
2344,21
2345,15
2346,25
2347,21
2348,25
2349,21
2350,15
2351,5
2352,27
2353,6
2354,11
2355,6
2356,7
2357,19
2358,2
2359,25
2360,15
2361,11
2362,6
2363,23
2364,9
2365,15
2366,23
2367,15
2368,7
2369,15
2370,23
2371,9
2372,25
2373,9
2374,23
2375,21
2376,25
2377,2
2378,9
2379,2
2380,23
2381,6
2382,5
2383,6
2384,2
2385,19
2386,8
2387,6
2388,23
2389,2
2390,23
2391,15
2392,9
2393,2
2394,20
2395,6
2396,11
2397,8
2398,19
2399,27
2400,19
2401,2
2402,25
2403,7
2404,19
2405,7
2406,6
2407,7
2408,25
2409,7
2410,19
2411,2
2412,6
2413,2
2414,19
2415,2
2416,19
2417,7
2418,19
2419,27
2420,5
2421,15
2422,23
2423,15
2424,7
2425,25
2426,7
2427,25
2428,15
2429,23
2430,8
2431,11
2432,8
2433,5
2434,8
2435,19
2436,2
2437,25
2438,7
2439,25
2440,7
2441,19
2442,2
2443,20
2444,2
2445,9
2446,2
2447,9
2448,25
2449,9
2450,2
2451,25
2452,7
2453,15
2454,9
2455,23
2456,21
2457,23
2458,8
2459,5
2460,6
2461,2
2462,6
2463,5
2464,23
2465,15
2466,23
2467,6
2468,8
2469,6
2470,7
2471,15
2472,5
2473,27
2474,5
2475,15
2476,21
2477,23
2478,6
2479,8
2480,11
2481,15
2482,7
2483,6
2484,7
2485,25
2486,7
2487,6
2488,27
2489,19
2490,2
2491,25
2492,9
2493,25
2494,2
2495,9
2496,15
2497,23
2498,6
2499,20
2500,6
2501,8
2502,19
2503,7
2504,6
2505,5
2506,8
2507,19
2508,7
2509,15
2510,23
2511,21
2512,23
2513,15
2514,23
2515,9
2516,25
2517,15
2518,11
2519,15
2520,11
2521,6
2522,27
2523,6
2524,5
2525,23
2526,6
2527,27
2528,5
2529,27
2530,5
2531,6
2532,20
2533,6
2534,2
2535,20
2536,6
2537,23
2538,9
2539,25
2540,15
2541,25
2542,2
2543,23
2544,2
2545,6
2546,11
2547,15
2548,23
2549,21
2550,25
2551,21
2552,23
2553,6
2554,8
2555,19
2556,27
2557,5
2558,27
2559,5
2560,27
2561,5
2562,8
2563,11
2564,8
2565,14
2566,28
2567,16
2568,1
2569,16
2570,13
2571,3
2572,26
2573,24
2574,4
2575,17
2576,1
2577,24
2578,1
2579,17
2580,1
2581,4
2582,13
2583,14
2584,28
2585,17
2586,12
2587,3
2588,12
2589,26
2590,3
2591,13
2592,14
2593,8
2594,23
2595,9
2596,15
2597,7
2598,19
2599,2
2600,9
2601,23
2602,8
2603,19
2604,27
2605,5
2606,23
2607,9
2608,23
2609,9
2610,2
2611,6
2612,7
2613,25
2614,2
2615,19
2616,27
2617,6
2618,7
2619,19
2620,27
2621,5
2622,15
2623,5
2624,8
2625,19
2626,7
2627,25
2628,9
2629,2
2630,6
2631,8
2632,5
2633,27
2634,19
2635,2
2636,19
2637,7
2638,19
2639,2
2640,23
2641,8
2642,11
2643,15
2644,11
2645,6
2646,5
2647,8
2648,6
2649,27
2650,19
2651,2
2652,6
2653,5
2654,6
2655,8
2656,19
2657,7
2658,25
2659,7
2660,19
2661,7
2662,15
2663,5
2664,15
2665,5
2666,27
2667,19
2668,7
2669,6
2670,7
2671,6
2672,5
2673,27
2674,19
2675,7
2676,25
2677,15
2678,7
2679,25
2680,7
2681,19
2682,8
2683,23
2684,9
2685,15
2686,21
2687,23
2688,21
2689,23
2690,15
2691,7
2692,19
2693,7
2694,25
2695,2
2696,6
2697,8
2698,14
2699,8
2700,11
2701,15
2702,7
2703,6
2704,2
2705,19
2706,2
2707,20
2708,6
2709,20
2710,6
2711,23
2712,21
2713,15
2714,25
2715,9
2716,25
2717,7
2718,19
2719,2
2720,9
2721,2
2722,20
2723,2
2724,25
2725,2
2726,9
2727,25
2728,21
2729,15
2730,25
2731,21
2732,25
2733,9
2734,25
2735,15
2736,5
2737,23
2738,15
2739,5
2740,8
2741,14
2742,17
2743,4
2744,12
2745,3
2746,26
2747,3
2748,26
2749,3
2750,12
2751,3
2752,12
2753,29
2754,18
2755,4
2756,1
2757,17
2758,4
2759,1
2760,17
2761,12
2762,13
2763,14
2764,17
2765,18
2766,4
2767,18
2768,4
2769,10
2770,16
2771,1
2772,16
2773,10
2774,4
2775,1
2776,10
2777,16
2778,13
2779,4
2780,28
2781,4
2782,24
2783,10
2784,4
2785,17
2786,28
2787,14
2788,28
2789,4
2790,1
2791,24
2792,10
2793,16
2794,10
2795,16
2796,22
2797,16
2798,12
2799,4
2800,28
2801,14
2802,28
2803,16
2804,12
2805,4
2806,17
2807,4
2808,16
2809,3
2810,16
2811,22
2812,16
2813,28
2814,16
2815,3
2816,13
2817,4
2818,28
2819,14
2820,28
2821,4
2822,17
2823,12
2824,30
2825,12
2826,13
2827,12
2828,30
2829,3
2830,16
2831,28
2832,16
2833,22
2834,16
2835,13
2836,16
2837,4
2838,17
2839,4
2840,1
2841,10
2842,4
2843,10
2844,24
2845,1
2846,17
2847,4
2848,12
2849,16
2850,3
2851,30
2852,12
2853,30
2854,3
2855,13
2856,3
2857,26
2858,24
2859,4
2860,18
2861,29
2862,12
2863,16
2864,22
2865,16
2866,12
2867,17
2868,28
2869,14
2870,8
2871,5
2872,27
2873,6
2874,2
2875,25
2876,21
2877,23
2878,6
2879,20
2880,6
2881,5
2882,15
2883,23
2884,2
2885,25
2886,15
2887,21
2888,23
2889,2
2890,9
2891,2
2892,19
2893,27
2894,5
2895,6
2896,5
2897,8
2898,11
2899,8
2900,23
2901,15
2902,21
2903,15
2904,23
2905,6
2906,5
2907,27
2908,19
2909,27
2910,6
2911,11
2912,8
2913,5
2914,15
2915,11
2916,8
2917,19
2918,8
2919,11
2920,8
2921,11
2922,8
2923,19
2924,8
2925,5
2926,23
2927,5
2928,23
2929,6
2930,23
2931,6
2932,20
2933,2
2934,25
2935,15
2936,5
2937,27
2938,5
2939,8
2940,5
2941,15
2942,11
2943,8
2944,5
2945,23
2946,9
2947,25
2948,21
2949,25
2950,15
2951,23
2952,6
2953,11
2954,8
2955,6
2956,2
2957,9
2958,25
2959,15
2960,5
2961,8
2962,23
2963,15
2964,9
2965,25
2966,2
2967,6
2968,7
2969,15
2970,23
2971,2
2972,25
2973,15
2974,11
2975,6
2976,7
2977,19
2978,8
2979,11
2980,6
2981,23
2982,8
2983,14
2984,17
2985,28
2986,14
2987,28
2988,4
2989,18
2990,4
2991,28
2992,4
2993,16
2994,4
2995,18
2996,29
2997,18
